Gene	SRR11319298	SRR11319299	SRR11319300	SRR11319307	SRR11319308	SRR11319309
PTGER3	6	3	12	9	11	6
ZRANB2-AS1	36	28	29	32	46	25
ZRANB2	2502	2105	2648	2568	2313	1849
MIR186	16	17	21	34	18	23
ZRANB2-AS2	8	2	10	10	9	2
NEGR1	8	14	18	28	20	15
NEGR1-IT1	0	0	0	0	0	0
RP11-262K1.1	2	0	5	4	1	1
RP4-598G3.1	0	0	0	0	0	0
LRRIQ3	131	103	111	118	97	110
FPGT-TNNI3K	0	0	0	0	0	0
FPGT	667	560	680	725	571	474
TNNI3K	0	0	0	0	0	0
C1orf173	9	5	11	1	3	2
LOC101927320	0	0	0	0	0	0
CRYZ	3800	3168	3906	3984	3432	2885
TYW3	3443	2805	3544	3454	3202	2725
LHX8	13	16	13	5	11	1
SLC44A5	543	444	523	465	487	365
ACADM	3720	3187	3794	3781	3578	2977
RABGGTB	3428	2838	3697	3684	3479	2676
SNORD45C	37	30	44	35	24	20
SNORD45A	28	15	36	33	31	26
SNORD45B	47	33	22	29	28	23
MSH4	12	12	10	26	17	17
ASB17	0	0	0	0	0	0
RP11-550H2.1	0	0	1	3	0	0
ST6GALNAC3	27	45	43	47	42	32
ST6GALNAC5	89	85	95	119	108	59
MIR7156	0	0	0	0	0	0
PIGK	2218	1765	2323	2422	2096	1683
AK5	3	4	4	8	5	5
ZZZ3	3867	3502	4308	4387	3855	3242
USP33	4485	3699	4709	4712	4309	3532
FAM73A	992	887	1116	1215	1077	987
NEXN-AS1	3	6	5	27	20	12
NEXN	743	650	741	734	707	590
FUBP1	7207	6075	7801	6414	5796	5125
DNAJB4	1696	1379	1576	1482	1391	1117
GIPC2	6	3	5	4	6	3
MGC27382	0	0	0	1	0	1
PTGFR	11	16	8	7	7	5
IFI44L	672	604	373	24	46	28
IFI44	2796	2795	2615	189	197	137
ELTD1	0	0	0	0	1	0
RP5-887A10.1	0	0	0	0	0	0
LOC101927458	1	0	0	0	0	0
LPHN2	524	506	546	655	546	461
RP11-170N11.1	4	2	4	2	12	1
LOC101927542	0	0	0	0	0	0
RP11-475O6.1	0	0	0	0	0	0
RP11-475O6.1_1	0	0	0	0	0	0
TTLL7	74	51	86	80	68	53
PRKACB	2256	1793	2284	2334	2266	1802
LOC101927611	0	0	1	0	0	0
LOC101927633	1	0	2	1	2	0
SAMD13	13	15	25	16	12	14
UOX	1	0	0	3	1	0
DNASE2B	0	0	1	0	0	0
