"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"MMP10",211.774734733848,2.37945952227578,0.148545794139476,16.0183567367893,4.46103991674814e-34,4.32929053787351e-31,"MMP10"
"MMP1",267.226586768932,1.99337699294561,0.139384605064836,14.3012708757783,1.83319451739516e-24,1.48254514387341e-21,"MMP1"
"MMP3",15.9466008796815,2.89347374485764,0.570847666836333,5.06873184030586,2.53156505799676e-05,0.00443999910232035,"MMP3"
"MMP12",88.7377331092006,1.87806554341064,0.214313251523733,8.76317973834045,6.94017780377441e-10,2.24507040643431e-07,"MMP12"
"MMP13",367.159250409502,1.63974179225459,0.125781374776279,13.0364435527209,1.79962730426922e-17,9.03350850629208e-15,"MMP13"
"KRT81",60.0543114697972,1.54023852317498,0.266967097030194,5.76939458198769,0.000161051869690383,0.0244211673654469,"KRT81"
"OAS1",432.504159270945,-2.43175981296767,0.286288875446794,-8.49407721195092,4.96045111093701e-11,1.76120211760756e-08,"OAS1"
"OAS3",6765.49335912671,-1.09166109286884,0.0760518517546204,-14.354168474307,8.61280451661037e-12,3.21478449611018e-09,"OAS3"
"OAS2",517.361413760134,-3.4548816306979,0.3162649300078,-10.9240111782634,4.94714275952487e-20,3.42931224525731e-17,"OAS2"
"OASL",3015.35759269093,-7.59295202465702,0.25119191444742,-30.2276928035691,7.91042191993185e-172,1.15152011888448e-167,"OASL"
"HCAR2",453.906191721591,-1.12951146386774,0.114091763731854,-9.90002632023812,7.3086026251009e-07,0.00015198761201942,"HCAR2"
"EPSTI1",157.844864306436,-2.02963194110274,0.177682338413132,-11.4228119644824,1.69521758513239e-16,7.47796435962795e-14,"EPSTI1"
"LOC101928841",19.6534831422536,2.50179515969942,0.490418616074832,5.10134623298573,4.45171993489865e-05,0.00728131315644041,"LOC101928841"
"IRF9",965.468328724513,-1.30038317475958,0.082791322859277,-15.7067568176182,1.64208410690772e-18,9.95992431010656e-16,"IRF9"
"WARS",8641.02265697035,-1.08876191339125,0.0966174498868103,-11.2687916589266,6.98146870894976e-08,1.69382066660303e-05,"WARS"
"KIAA1199",282.051238465626,1.08895737906316,0.127393202337594,8.548002240947,3.23240536261341e-05,0.00540852009926016,"KIAA1199"
"ISG20",155.288753324508,-2.1647364817935,0.173735748142471,-12.4599370304511,3.70342968040282e-20,2.69554129288119e-17,"ISG20"
"ANPEP",31.8222242795823,1.99386900313926,0.383791782903753,5.19518419090094,0.000114824527139969,0.0178638909761962,"ANPEP"
"GPRC5B",394.363322765399,0.987636659566972,0.099595283478529,9.91650031077917,2.12976916008729e-05,0.00378085971504764,"GPRC5B"
"CNGB1",125.427150129103,1.39310521806199,0.171638205718532,8.11652168134714,1.08281178433136e-06,0.000215924536226186,"CNGB1"
"CDH11",171.882791322901,1.59255652018104,0.161648939604801,9.85194535809832,1.87705380632277e-10,6.3544819206141e-08,"CDH11"
"PLCG2",646.784423114789,-1.39081067731122,0.0952605301007266,-14.6000728301701,8.58435161499703e-18,4.80624640228891e-15,"PLCG2"
"XAF1",104.9731671726,-3.13475352871053,0.405250022173975,-7.7353568345143,1.44897720647809e-10,5.02208599873845e-08,"XAF1"
"DHX58",139.72150844062,-1.47278673212537,0.185842409478185,-7.92492271414641,7.77638387146808e-07,0.000159437774671776,"DHX58"
