"","WT_1","WT_2","WT_3","IrrKO_1","IrrKO_2","IrrKO_3"
"HERC1",3154.86600315475,3211.09888631235,3132.53616377779,3587.45620550079,3578.84333144127,3602.86500317039
"DAPK2",50.0037464544632,64.3291930479937,58.9754421011372,53.0932533603076,52.2982836399727,59.7779191677078
"FAM96A",1674.19951091981,1522.45756880252,1660.71426090594,1638.56764680949,1705.33422927989,1587.85097789224
"SNX1",2867.80745869394,2799.39205080519,2923.13060849115,2954.91416977712,3040.47864691214,2936.59027911365
"SNX22",27.7798591413685,18.2266046969315,26.4962131179022,32.0390322001856,43.0691747623305,28.64358626786
"PPIB",1914.958290145,2058.5341775358,2162.4328770417,2354.41116625364,2202.68065213061,2485.76513872385
"CSNK1G1",2126.0852196194,2063.89494362313,2153.0309949676,2267.44807885314,2264.20804464823,2270.3155550569
"KIAA0101",3267.83743032964,3242.19132961888,3117.15126583837,3751.31297018173,3732.66181273531,3650.18918917816
"TRIP4",488.925520888085,531.787995863414,473.512969913478,562.056164883256,552.721076116574,579.098591937169
"ZNF609",5596.71562168103,5569.83596473879,5750.53296313697,5612.32304055252,5915.85879056868,5829.59249216751
"OAZ2",2102.00934169688,2143.23428171566,2111.14988391027,2250.97086229304,2315.48087174624,2211.78300920519
"RBPMS2",19.4459013989579,40.7418222637293,31.6245124310446,26.5466266801538,41.01826167841,36.1158261638235
"PIF1",410.215919987541,354.882714981432,406.845078842628,372.568174442159,327.120636885319,275.227502834655
"PLEKHO2",270.390628975986,280.904142976239,320.518707071398,335.036736721941,317.891528007677,330.023928738387
"ANKDD1A",62.0416854157229,67.5456527003934,47.0094103704717,72.316672680419,76.9092406470187,79.7038922236104
"SPG21",2543.70910204464,2595.68293948655,2596.62888555442,2694.02490757561,2612.86326891471,2516.8994716237
"MTFMT",563.005145265068,527.499382993548,635.054398277463,618.811021923585,654.241273770639,638.876511104877
"UBAP1L",12.9639342659719,20.3709111318647,16.2396144916175,30.208230360175,12.305478503523,14.944479791927
"PDCD7",1658.4575907397,1567.48800393611,1645.32936296651,1726.44613513,1671.49416339521,1646.38352374395
"CLPX",1964.03604129475,2025.29742779433,1964.13863693353,2045.92105621185,2150.38236849064,2165.70419651341
"PARP16",329.654328477572,347.377642459166,351.288502950252,347.852349602015,302.509679878273,343.72303521432
"DPP8",3326.17513452652,3217.53180561715,3288.09457627645,3717.44313614154,3876.22572860974,4043.72715703223
"PTPLAD1",5110.56808670709,5471.19786873186,5365.0557980991,5308.40993511076,5417.486911176,5592.97156212866
"VWA9",2114.97327596285,2118.57475771393,2139.35553013256,2199.70841077274,2263.18258810627,2232.95435557709
"SLC24A1",421.327863644088,426.716980551692,422.229976782055,461.362063682673,470.684552759754,474.487233393681
"DENND4A",964.887107510198,959.577129632573,948.735372931337,959.340164165558,945.47093168735,1005.01626600709
"RAB11A",3434.51658517785,3489.85872285366,3475.27750120614,3628.64924690102,3555.25783097618,3647.69844254617
"DIS3L",1176.94003228931,1315.53199783147,1288.05784415092,1216.56782268705,1304.38072137344,1274.01690226177
"TIPIN",503.741445763481,471.747415685287,516.248797522998,497.06269956288,569.128380787938,559.172618881267
"MAP2K1",2464.07350583938,2577.45633478961,2666.71564283403,2868.86648329662,2952.28938430356,2817.03444077823
"SNAPC5",297.244492812643,259.461078626908,270.945147044355,300.25150176174,291.229657916711,282.699742730618
"RPL4",44469.9985135026,45975.0021181836,45758.9600546171,45071.5950983011,45143.673346716,44949.2590941683
"ZWILCH",3165.05195150658,3184.29505587569,3248.77761487569,3462.96168038006,3468.09402490956,3291.52167417191
"LCTL",17.5939107895334,21.4430643493312,7.69244896971355,23.8004239201379,21.5345873811652,29.8889595838539
"SMAD6",15.7419201801088,20.3709111318647,16.2396144916175,30.208230360175,43.0691747623305,18.6805997399087
"SMAD3",6730.13387464887,6933.61485735625,6581.31745186603,6501.17733387767,6446.01982276213,6550.66364212798
"AAGAB",2253.87257166969,2416.63335216963,2498.33648205252,2412.08142421398,2379.05917734778,2545.54305789156
"IQCH",76.8576102911194,71.8342655702596,63.2490248620892,67.7396680803925,72.8074144791777,80.9492655396043
"IQCH-AS1",175.013112590621,185.482506621715,158.122562155223,179.41858032104,188.684003720686,199.259730559026
"C15orf61",42.595784016765,54.6798140907946,45.2999772660909,42.108442320244,46.1455443882112,27.3982129518661
"MAP2K5",563.93114056978,504.984165426751,490.607300957286,530.017132683071,507.600988270323,528.038285981419
"PIAS1",1898.29037466018,1894.49473526341,1784.64816097354,2019.3744295317,1956.57108206016,2127.0976237176
"CALML4",338.914281524695,406.346069419827,373.511133307202,293.843695321703,345.578854640604,320.060942210436
"CLN6",1447.3306612653,1557.83862497891,1539.3445104949,1514.98852260878,1527.93024752077,1445.87841986893
"FEM1B",4199.3887068702,4181.39754811959,3984.68856631162,3988.40180846311,3985.94957859949,4026.29193060832
"CORO2B",38.8918027979158,33.2367497414634,36.7528117441869,45.7700460002652,48.1964574721317,56.0417992197261
"ANP32A",10686.9118116844,10504.9572247374,10913.8756549191,11047.973703544,10987.7668471041,11971.7736866495
"ANP32A-IT1",12.9639342659719,22.5152175667978,17.0943310438079,25.6312257601485,41.01826167841,22.4167196878904
"GLCE",1009.33488213639,1077.51398355389,1043.60891022447,1136.92794264659,1094.16213027159,1188.08614345819
"PAQR5",428.735826081787,528.571536211015,493.171450613857,421.08442320244,414.284442951941,376.102741430162
"KIF23",4749.42991786929,4530.91949701369,4815.47305504068,4724.38414814737,4706.84552759754,4996.43774376758
"RPLP1",18030.9805733576,18828.0826519303,19735.4051900762,19905.3930055153,18754.574695911,18989.4523222752
